Date,Year,POONDI,CHOLAVARAM,REDHILLS,CHEMBARAMBAKKAM
9/23/2005,2005,17,16,36,3
9/24/2005,2005,0,0,0,0
9/25/2005,2005,63,46,38,47
9/26/2005,2005,0,46,37,0
9/27/2005,2005,0,0,0,0
9/28/2005,2005,41,0,0,0
9/29/2005,2005,0,0,0,0
9/30/2005,2005,0,8,3,16
10/1/2005,2005,0,0,0,0
10/2/2005,2005,0,0,0,5
10/3/2005,2005,5,0,0,0
10/4/2005,2005,3,0,0,0
10/5/2005,2005,0,0,0,0
10/6/2005,2005,0,0,0,0
10/7/2005,2005,0,0,0,0
10/8/2005,2005,0,0,0,0
10/9/2005,2005,3,0,0,0
10/10/2005,2005,0,7,3,0
10/11/2005,2005,6,21,22,8
10/12/2005,2005,47,46,74,61
10/13/2005,2005,36,60,64,69
10/14/2005,2005,61,25,43,72
10/15/2005,2005,0,0,0,0
10/16/2005,2005,0,5,0,0
10/17/2005,2005,0,0,0,0
10/18/2005,2005,0,0,0,0
10/19/2005,2005,13,16,59,25
10/20/2005,2005,53,39,44,47
10/21/2005,2005,0,0,0,27
10/22/2005,2005,2,0,0,22
10/23/2005,2005,14,27,12,12
10/24/2005,2005,19,29,22,8
10/25/2005,2005,5,11,6,18
10/26/2005,2005,15,41,40,17
10/27/2005,2005,52,53,125,74
10/28/2005,2005,123,163,241,230
10/29/2005,2005,0,0,0,0
10/30/2005,2005,0,0,0,0
10/31/2005,2005,14,0,1,12
11/1/2005,2005,0,4,15,3
11/2/2005,2005,0,0,0,0
11/3/2005,2005,0,0,0,2
11/4/2005,2005,0,0,0,7
11/5/2005,2005,24,43,95,40
11/6/2005,2005,13,50,44,54
11/7/2005,2005,79,82,103,170
11/8/2005,2005,41,32,5,52
11/9/2005,2005,7,34,40,27
11/10/2005,2005,2,6,3,0
11/11/2005,2005,0,0,0,0
11/12/2005,2005,4,14,14,5
11/13/2005,2005,0,0,0,0
11/14/2005,2005,0,0,0,0
11/15/2005,2005,0,0,0,0
11/16/2005,2005,0,0,0,0
11/17/2005,2005,0,0,0,0
11/18/2005,2005,0,0,0,0
11/19/2005,2005,0,0,0,0
11/20/2005,2005,0,0,0,0
11/21/2005,2005,1,16,9,6
11/22/2005,2005,45,34,45,68
11/23/2005,2005,60,46,28,49
11/24/2005,2005,87,66,87,23
11/25/2005,2005,16,23,27,24
11/26/2005,2005,30,72,48,68
11/27/2005,2005,5,26,16,11
11/28/2005,2005,0,0,0,0
11/29/2005,2005,0,0,0,0
11/30/2005,2005,0,0,0,0
12/1/2005,2005,0,0,0,0
12/2/2005,2005,0,9,0,2
12/3/2005,2005,132,113,146,255
12/4/2005,2005,48,45,28,42
12/5/2005,2005,35,11,5,1
12/6/2005,2005,0,0,0,0
12/7/2005,2005,0,0,0,0
12/8/2005,2005,0,0,0,0
12/9/2005,2005,0,0,0,0
12/10/2005,2005,1,23,9,0
12/11/2005,2005,12,27,22,3
12/12/2005,2005,6,15,15,4
12/13/2005,2005,166,201,131,38
12/14/2005,2005,4,0,0,2
12/15/2005,2005,0,0,0,0
12/16/2005,2005,0,0,0,0
12/17/2005,2005,0,0,0,0
12/18/2005,2005,22,32,38,22
12/19/2005,2005,13,85,75,30
12/20/2005,2005,2,20,6,8
12/21/2005,2005,2,0,2,2
12/22/2005,2005,0,0,2,0
12/23/2005,2005,0,0,0,0
12/24/2005,2005,0,0,0,0
12/25/2005,2005,0,0,0,0
12/26/2005,2005,0,0,0,0
12/27/2005,2005,0,0,0,0
12/28/2005,2005,0,0,0,0
12/29/2005,2005,0,0,0,0
12/30/2005,2005,0,0,0,0
12/31/2005,2005,0,0,0,0
1/1/2006,2006,0,0,0,0
1/2/2006,2006,0,0,0,0
1/3/2006,2006,0,0,0,0
1/4/2006,2006,0,0,0,0
1/5/2006,2006,0,0,0,0
1/6/2006,2006,0,0,0,0
1/7/2006,2006,0,0,0,0
1/8/2006,2006,0,0,0,0
1/9/2006,2006,0,0,0,0
1/10/2006,2006,0,0,0,0
1/11/2006,2006,0,0,0,0
1/12/2006,2006,0,0,0,0
1/13/2006,2006,0,0,0,0
1/14/2006,2006,0,0,0,0
1/15/2006,2006,0,0,0,0
1/16/2006,2006,0,0,0,0
1/17/2006,2006,0,0,0,0
1/18/2006,2006,0,0,0,0
1/19/2006,2006,0,0,0,0
1/20/2006,2006,0,0,0,0
1/21/2006,2006,0,0,0,0
1/22/2006,2006,0,0,0,0
1/23/2006,2006,0,0,0,0
1/24/2006,2006,0,0,0,0
1/25/2006,2006,0,0,0,0
1/26/2006,2006,0,0,0,0
1/27/2006,2006,0,0,0,0
1/28/2006,2006,0,0,0,0
1/29/2006,2006,0,0,0,0
1/30/2006,2006,0,0,0,0
1/31/2006,2006,0,0,0,0
